BlockNo,From,Quantity
38172916,0x8923D3Ef9AA2785601bBB0046242Be864897D15a,302.02742824603274
38171817,0x75afA0148A5330C0D54a63a2388FB4AEFB36B540,5789
38171566,0x0aa34fA35DC0cBB32603d15FB3FaDf3FaaAbF5b3,149
38171537,0x762E965dA49dEC5BB2Eee78Bf2EF91330256B8FC,1330.1404193686
38171184,0x13337c897744039271573FD9dC81b1b317fB8ce7,1000
38170948,0x4bE6d67c3d5CFec677323a06A75ef5a998b88815,733.2313210903513
38170821,0xE356fe28B7B6B015a3b2BB4419dBdF2777d7420B,209370.05023063018
38170582,0x7cc38a1C382919a1b3c58019f501b3Ec1754196a,352
38170175,0x7d89Bf498a308b317D141F8e0dEd2EbeAdD70922,105.01861597003588
38169935,0x092CDa2230D41979999Fdd210af1b73A7Da46CE4,8701.11
38169893,0x5eF2a6B30aA461F98559432160c4c62072F4d8EE,2721.9737245502524
38169878,0x5eF2a6B30aA461F98559432160c4c62072F4d8EE,2721.973724550254
38169779,0x4539eB69D78562044F41B9ABdd7520Af4bE73FdB,437
38169529,0x5Eeb5a71B5279aC957261e4ac5fD233EFE6A87e2,938.432
38169248,0xC485a40C286182E4767D1CF382C382011DD82bF6,1809.425
38169111,0xFc5b70053D3f5a36d15768DF5369fa3B888E96Ee,1006.74468
38168838,0xD4d00a14D2d3181DBEBEAF062933D150e9bAFB27,4012
38168803,0x7A2777c22466De3e20eB3b3952114D45FAf454F3,300
38168030,0x5cC5E6DccaF171e6a4053d5aA176eA3D13C3E72b,971.562654379141
38167965,0x3EC18c32DCAa7C353B27E03656BA44E53B53BD19,439.252071108208998781
38167840,0xB854cEA254b32bae43CE9cE380A8803D8E974c6d,300
38167270,0x57FBf190abfB204046140370Aa3ED87e8934cbBB,606.908
38166073,0xceD9450c4671b64b27C0614Bea50676115F5B6e7,1250
38165738,0x09AC98A6285172Bc05fd707f6A66770a0BD10f8E,250
38165552,0x9654E02807C30E165e1df4B1c3D25D9d1397f03E,278
