BlockNo,From,Quantity
39094741,0x5fdA01c8976a0AE70602749804eF24066cA11624,0.00000415468151
39094682,0x5fdA01c8976a0AE70602749804eF24066cA11624,1099.96165
39093863,0xCB8B3d65F8c41Fc083BDa7Eb20058d574d47B28f,1106.73
39092878,0x09e43773E05d2C7f74999616bd701a6a0AFAFA98,155.855668
39090842,0x69320B80240242f2E9C3C4f27C1050F1C4ad1424,182.078
39090098,0x23037E2E175675a0b266754F681cf120C2EdFB32,750.98
39089836,0xB047e5845cE7c26C915A5b4861d990f61B77e4a4,5000.469929
39089789,0x2962eE43Ae82D4dEe0EB667bEe5cf46b215D75e5,59.806
39089467,0x3267131dF2C8dd1F02736f4F2d87f994C5645a91,2501
39089127,0x29E433A7Da5Ed6CdB2678BB0B4bdA234eA2703fA,600
39087548,0xCcEDb6ddB9Bcc157feE1ff70692C6f7874622656,51
39085445,0xD779d7078892d2aDfFc85293B4632cFA36332d38,3738.669337
39085121,0x34BeDa774efa7C62db9F5ef6154995AB02975E42,50
39084441,0x4E72f7E288f7c1c58A439f8d101DeD16587045D1,300.8334775
39083557,0x6f7499ae339f3b03DCF9582DEbe12b2856829561,5330.715546
39083344,0xE1b8988c4415dB08c6CFfA5CcA7861EE99D59bDE,253.511
39082762,0x228bB7fA62Ecb860010921934A32F21f80af9568,300
39081857,0xd75ac203E9aDEeAEB5cAf97589e92b0247D2A8D1,731.3944167
39080425,0xAe2DaBc4c278c74A7464CA808fB16CCF172ee713,200.8867071
39079213,0xe5640785E22Bd241Cd3f87e1807550Ba87d05A38,655.64
39077658,0x69525a3B3B932E7969c877e6d4f8cB060cd07975,662.7129757
39075895,0x0484Fe17519F1e0a9f6421A38a760ad031c16C86,300
