Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0xd7cf1454be5096404b09bb82c2a7cdaeb463212259a0ca21cf16b02d3758f753","Success","Transfer","40877606","2024-07-28 20:45:00","0x04e19EED5Fd3f2402f0F7E95425c498F4C62D02e","badrobot.bnb","0x0000000000000000000000000000000000000000","Null: 0x000...000","250","$24.60",""
"0xfc551a7ee5adc525530c5c290605fae36327ccabc50886ac677e599f47191cfa","Success","Transfer","40877026","2024-07-28 20:15:58","0x82f38a4cd3C327578656ca7052892Db84d266c9f","","0x0000000000000000000000000000000000000000","Null: 0x000...000","1,572.6909761123147","$154.74",""
"0x242e0d35d2b7bb1ec19c3767fc7235721ac118e682c882c8f54f669ff1c6d886","Success","Transfer","40865272","2024-07-28 10:27:23","0x14Ff0Bc9417B6796f79768729002A793b51205B8","defigen.bnb","0x0000000000000000000000000000000000000000","Null: 0x000...000","1,251.1016752001888","$123.10",""
"0x38ac0136ed3c73160def5fa63f5d3a2c05f0a4ce2fc244d1388af95b5ff28ef4","Success","Transfer","40863439","2024-07-28 08:55:42","0xF525DcfbF05F1Cd29aB85fEFb1D25EBa5E4819Ed","","0x0000000000000000000000000000000000000000","Null: 0x000...000","154.88","$15.24",""
"0x9a350cd2680527ac7661aac0f1068fbb0861227197c9bdc8a22b4f46a1f9feec","Success","Transfer","40862549","2024-07-28 08:11:12","0x27d98AB2dd2255F7066005f64895d37c16E7f6b9","","0x0000000000000000000000000000000000000000","Null: 0x000...000","1,051.82","$103.49",""
"0x1c0ed39e2d6d615136df37eac8304464a127df5497f169860d04bd295f48779d","Success","Transfer","40847338","2024-07-27 19:28:55","0x42e261D64095C1586b4fd9669c4fC845D17df521","","0x0000000000000000000000000000000000000000","Null: 0x000...000","60","$5.90",""
"0x6650de6ae274c888c9e7dfdbd5e634eae5dea6a9da738660f63b73b67b4d152e","Success","Transfer","40846143","2024-07-27 18:29:03","0x020891d1E23Ab9a8A5cDC6dEf299761c5AEE0B22","","0x0000000000000000000000000000000000000000","Null: 0x000...000","5,002.33","$492.20",""
"0x7bb77070e11e341f0ac9a7d1e16be4a761599dece97d8e1578b7b898b6617781","Success","Transfer","40842032","2024-07-27 15:03:08","0x962D94F0d4162743963545c6c0131f119F4403Ce","","0x0000000000000000000000000000000000000000","Null: 0x000...000","120.2","$11.83",""
"0x3f603721ddf3344bf07c7a2f05eb95076d753a21e576c2dc9921563319ef4585","Success","Transfer","40831489","2024-07-27 06:14:34","0xd4388e6c9274AdE042b33f5b863b1303ce090E3D","","0x0000000000000000000000000000000000000000","Null: 0x000...000","250","$24.60",""
"0x6d4ecee37ab9e3083cadb046b5b3b1d86be4cf98a8dabbc6afbbfde123a7a3a0","Success","Transfer","40830371","2024-07-27 05:18:30","0x2D7B356cc7aE278C50918EE0cb95ABE3Ec56452E","","0x0000000000000000000000000000000000000000","Null: 0x000...000","2,220","$218.43",""
"0x0b9a039a850ff3c2794192cd76280083f20a2e5dce85f7de8ee88f9ba564ebb5","Success","Transfer","40823818","2024-07-26 23:49:56","0xcDb2E1fe2F4613b00395Cc23f1819b912569fa1b","","0x0000000000000000000000000000000000000000","Null: 0x000...000","437","$43.00",""
"0x6bc8626c1f0309ac644e54ebc2e0860806219af79c228ed65f62f07ffa09e994","Success","Transfer","40820425","2024-07-26 20:59:53","0x7BCBDf34D07213060B0bb31EB7962e8d4B85D780","","0x0000000000000000000000000000000000000000","Null: 0x000...000","250","$24.60",""
"0x76f4d3c22a805b862f1d5857ae8d0c3152ae24e7062757c5870b53e1c34bc467","Success","Transfer","40820388","2024-07-26 20:58:02","0x7831DDfff2beeFE3428230d65A7231b93F3553cD","","0x0000000000000000000000000000000000000000","Null: 0x000...000","0.006150460105490055","$0.00",""
"0x0d454f53c6fcf24f1cbeec8572b74053eb7772b660bdb708df421aa9ca1775a7","Success","Transfer","40820331","2024-07-26 20:55:11","0x7831DDfff2beeFE3428230d65A7231b93F3553cD","","0x0000000000000000000000000000000000000000","Null: 0x000...000","295.44","$29.07",""
"0x49b18da876c03fef952a553c860e53b709ce1a3e8ca966ced1045eb4338bba42","Success","Transfer","40819542","2024-07-26 20:15:37","0x1b3FA51fAf16CD79Ccb8A79400379bc19974c103","","0x0000000000000000000000000000000000000000","Null: 0x000...000","250","$24.60",""
"0x8d26b118c72a173b778e5e7daa3f50725c5737376138994b30a79dedb311d882","Success","Transfer","40819186","2024-07-26 19:57:49","0xB9D3D15205a785FE492EE63E26e2ACB9131BD05b","","0x0000000000000000000000000000000000000000","Null: 0x000...000","1,193.553568613963","$117.44",""
"0xdb7ccc93a7d1caebd277b5864c647cd5ddbcf1b3a2c0c6d05f466c3afd695dc2","Success","Transfer","40817650","2024-07-26 18:40:52","0xC81a77D1F0785ea0788DD4F6266C8C3Ae886dee3","","0x0000000000000000000000000000000000000000","Null: 0x000...000","6,872","$676.16",""
"0x56c58ac51844f3da44ab4f760008588932778ec89fbe70106ab2fe28f5636250","Success","Transfer","40817507","2024-07-26 18:33:43","0xb02Fe8Ce7ed1EDB018611FD0f7DC983028a5E41f","","0x0000000000000000000000000000000000000000","Null: 0x000...000","2,445.607691179482220707","$240.63",""
"0xcb98dce288052c604a5a80c80b3874990dc7c0b59f4b2308fcc29ad5fc489741","Success","Transfer","40817149","2024-07-26 18:15:49","0x5046c5EFFa4a52Bc6190DF3AD5bA17358a43dc19","","0x0000000000000000000000000000000000000000","Null: 0x000...000","610","$60.02",""
"0x12de5b35a69a1b735d99f78174594b1bc091c036ac57d1d509f509176cb0fabe","Success","Transfer","40814869","2024-07-26 16:21:39","0x712f8a9EA6341df8C6fA528419eA767A1bB92f61","","0x0000000000000000000000000000000000000000","Null: 0x000...000","3,000.14","$295.20",""
"0x7fd4cc50af60f328afb0bb08b5fc706a9117e7c942008f8b2c3f4c8f79db5dc2","Success","Transfer","40813968","2024-07-26 15:36:16","0x1cCda49c087AA393c9B1AC606b3035385b7089D1","","0x0000000000000000000000000000000000000000","Null: 0x000...000","106.43779","$10.47",""
"0xbb162470cd3102b34c1a914a5d341977b8be2630858114a35f73d656ab953335","Success","Transfer","40813967","2024-07-26 15:36:13","0xe1b0c6E86ce13fCde1cD2faa7E2cb2098fe4740E","","0x0000000000000000000000000000000000000000","Null: 0x000...000","363.679","$35.78",""
"0xea24a7517191111d2b52c8c138668c786a0ce8c03e80e4447cba549853d3a54a","Success","Transfer","40812703","2024-07-26 14:32:46","0x86382d5D6c361f23a386521894e61895f60C3698","","0x0000000000000000000000000000000000000000","Null: 0x000...000","404.01789878699987","$39.75",""
"0x7da920ca49d1402af1a9fdbb1517e57f039dd05408f02de2f1b2d668bd027ef6","Success","Transfer","40812544","2024-07-26 14:24:44","0xcDb2E1fe2F4613b00395Cc23f1819b912569fa1b","","0x0000000000000000000000000000000000000000","Null: 0x000...000","8.3","$0.82",""
"0x74b5b6e9acc2205bd6e28d71667440e46af7b319e8999d72366457ad9064bc7e","Success","Transfer","40812482","2024-07-26 14:21:38","0x6af2f5A712650Fdfb828401b878171A8c4ea38c4","","0x0000000000000000000000000000000000000000","Null: 0x000...000","0.001259156396655524","$0.00",""
