BlockNo,From,Quantity
40786699,0xba5b0827556dc36fefE521b9A89f7c007dCbb7cF,251
40786463,0x17a152D07cf496E51b2B4A1D69Bc5AF2feD9C52c,5.632335018478958
40786092,0xBb4Ca4835637187bb96D603266717b193ebF1c07,249.999
40785443,0x03Df831a616BE8421144B15d34F324453f251541,651.2
40783466,0x461462fc0A8c05FfB5B5Fe2e82B3a3aB292DB23A,"4,300.00139"
40782569,0x1D85ddEB7F73c33802D4e2545Ee65a579781e0b6,304.05
40782483,0x6e523ec8bC51FA27fd8157E4255B03560e0a191b,560.356
40780773,0x03bB69Cf296C834B97b6D64153fC2c0D3CEcE0B9,697.7186559231592
40780678,0x835649A4Ad9C806405B03e39BFCd02D6e81B408F,327.5255
40780467,0x4aFC7288331F37B1C8e7D6BA88E8a1DAA284D631,"1,850.759631993621"
40780042,0x77F8D21E739Dd90083122a97f2cD9987e791E605,252.015481741
40778717,0x75aDacA2a2031BF69cB3077B2861e0913B95D980,"3,002.7018125396266"
40778398,0x01e7C1D1aD002D5AFc80b7bf5B7bB487702A228C,214.105
40778031,0xc51a3EbF353f9b9f71F6Aae6c3716e66BB21F0f7,297
40777825,0x56e92a7cAFC83791089191b5136dC26168cB575a,604
40776294,0x2f6E0Cf068E9A97d41E7fB312eD0238069CbD3dE,250
40775670,0xB3218d61Fdda1927F761C4bFD62B131B9e638C66,500
40771927,0x32283342cb0Ed16a62E056d8Ca3764f682AEACDD,301.0397595348319
40762575,0xa96c4007bdc9048726B1Da6dF8b319DB00CCB05d,50
40761457,0x80386279ed4da5f47dcf5D39Fc0Aa96634FCAc4a,400.2
40759590,0xEf6dbA3Eb53f9DEc8925eD7423735344173d4023,250.09257
40758879,0x7a0E589c01c79BE0FB53efE88F5bbBD7baB9EeCa,250
40757977,0xA18334BFf82F71040bBE4668EDD6aba861478E0c,847.644173443854
40757505,0x135eD30F0c95c7EC6Cf90f5A5033F2081EE9B174,610.237
40756207,0xAC84A992f96e94143F1dF6a613Feefd2E6A98Ca1,49.705888497837
