BlockNo,From,Quantity,,
38144639,0xdAD1971fE99b115fA6e357C4De78EBAcB623e23b,7562.600250284681,,
38144504,0xDE9dF19FBa250c0E3cd9eE649264303626b4bD7A,1161.1285194670495,,
38144457,0x5F8DDe914a27FC368D7A91a6849DA5E03e7Fe1C7,3003,,
38144453,0x0a5D300f2aaebb0DD0527696AA67cf8d648a7d7f,7493.488043044607,,
38144073,0x3fAEccC1d48bC6408CCD885D4c579b13f0CaA79C,617.1108322911219,,
38143909,0x478f43c6654757CFF41C716B25c6C05b3A2379b3,1429,,
38143560,0xb93344547c2910317855a9b917299B3a787A20AA,250,,
38143475,0xE356fe28B7B6B015a3b2BB4419dBdF2777d7420B,10,,
38143470,0xc6B9817B7C1eE805c660F5Fe2627aB4b6F26711d,866.333,,
38143418,0x141e40A701eF7a31F15Ea89a60Fbc3F9522cd11b,350,,
38143119,0xBCDF672a34CbCAD5F46Aa1C5E66ba64360Cf75B1,2452.481079596117,,
38143083,0x329df71A4288BF90F39c5774dc661fEC3B8EA2e2,1980.700126,,
38142928,0xB3a00c3CA08A1BD29341519A4f1eaEdBBa82ca39,650,,
38142471,0x107a4dc0351bBa0ed34B5EAF25815F71b346Bddd,700.0183350507591,,
38142349,0x0aa34fA35DC0cBB32603d15FB3FaDf3FaaAbF5b3,1,,
38141527,0x5e40F7f37338a21d087B6745d8F26fBD9b19F049,2768.673884847586,,
38141515,0x48731A48591B8A1869fa0f742334532A88b2cE92,1308,,
38141157,0x2ec48F301c6d99217ccFa3209beB7e192533d504,300,,
38140608,0x9f4AaD857799731C44CCe345ee39a5639472904C,19257.85947055451,,
38139442,0xE41d7F167D254437610D82a3833C3a1E0bA3a780,600.7885425701123,,
38139403,0xfbDD4856Fa64917c3D6744b2178F0d73e0fC626b,819,,
38139149,0xFAdB56A7b0cF6d498dbC8b2EeE826E2f43f8A39C,27151.90881178285,,
38138880,0xa634D8b6fbE9A175A5bE1b0E5d6798E47D45998a,34273,,
38138468,0x47E9e678452882dd94d2E01B372F2e119DC68FC1,14058,,
38138396,0x47E9e678452882dd94d2E01B372F2e119DC68FC1,1000,,
