BlockNo,From,Quantity
38869190,0x99205da5A4664CdCD9995Db492297F95fc59d120,300
38865146,0x6e312cF46084F5Fc30b8E9c88c3D07408dd63020,853.7658477447477
38863497,0x1bB26A07ddb835Ff3A23ed584c68AF2629D8f2aE,2299.3701276019315
38862363,0x7888A2D566B31d143D57e113Fd65305a83480C37,249
38858325,0x31110Fadb4401Fad566606905C03D9dAf3C87ce2,483.77
38851765,0x91011DD84fBD8a3e2c41505Cdc5c3fb359521c18,50
38832035,0x7d1484181e6c382BC56E97a234987d78b9226d66,299.999
38830162,0xDEcBF5b0423e46cC1015d729D0574Da2C27feBe0,253.89701399072422
38827617,0x943a445cF8128Ab27f7745B8ee6dFFAE6c9Fe61e,500
38825228,0x259F962e77262eE8d97cc6a112D0E0321323ea0d,1250
38824448,0x662deCcbc86b30D846E251cCde1A72C1f80483Cd,547.9344177688391
38822699,0xA782862589E5e353Bd450dF556354AdEe13B3388,264
38822316,0x2035F3Fb95080B4922964371133eBa1fE7D4CB2B,100
38820043,0x8B9CE9E09283166d1056c4A8cd76362C642145BE,412.494
38802554,0x4EEfB5A30eD2B43D4D84099f92A9b6Fac943B58f,293.82
38796994,0xb02268Fa64174635E5bC1c9a94A64B9Ef107293f,76.14
