BlockNo,From,Quantity
39052811,0x9B9Ec109f4D01134696A9270ba382e69D383232e,1170.499269
39046817,0xed9D067599F6dAAe95c66ea7ea698c9E77C95bFC,2433.59
39043114,0xeD105bFA7943213c3A359b52d01f84430A87E5c5,250
39040429,0x482f69Fa922ae0E8b4a2eAc4D04bfd694a43b709,1101.927903
39038394,0xbBa55352261007aF8ACBAAcA5F6e72E6F7E719BB,56
39032084,0xF74ed4a5029dd60e478E793B3FAC7ff2b42633F7,1250.26319
39031495,0xDC1f22F1C2F671FEfA88aFE4e4f28ca7acdB8F77,300
39030775,0x38df5EaB959095F4589686f4D725c7d0a7ba8F75,500.3904735
39030481,0x52d73946bc7aDB43b9524B21584533b58930Ee19,502.885
39028985,0x1FAd5377181E3988AA194d2eE8F4eE887DF85AC2,150
39028718,0x7B687aae77f59da3427666FAE4d5cB43E623BA3f,500
39028557,0x2f3B28ba96AbdAaAeEA73cF23807F1Db3E4D1e5f,250
39028131,0xAF8F687FaC0312e393ad37f1D345157cD3904A31,430.342
39027817,0x5e9a6f41b08226Cba81C9A8B941060754aA74Bc5,0.8176073749
39027780,0xE06C1A71230126B56b63eA73E40d4Eb7fe86e711,300.5315291
39027634,0x5e9a6f41b08226Cba81C9A8B941060754aA74Bc5,511
39027495,0x5B1053748E5ffB0930634A614657745Cc445c41C,1571.111462
39026021,0x0aeAde58cEff97123046118b2C561159B91aF1CD,499
39025918,0xF71b9e444a755060fe67Ec352963682462f6fDDA,20.07
39024020,0xBa67cB850668EbDC213359e1ACdB96687717E200,1656.342095
39023027,0x159646F1986599bd74Ac4619C8f359D1B97a5F00,300
39022524,0x5018FA2754E1309AAfa81E9664e5f4F3066E0CC6,150
39019918,0x372A16e8c538666e333D33A6D5cDaA0d76a4057e,1108.2593
39017741,0x096DC86E781a9311B37A4149EffABE2557fF13a5,1902.075732
39016781,0x04197C405A7f63ae083dD74fd4124EFAd25D702B,204
