BlockNo,From,Quantity
19734823,0xfEcC700E4Eb525a52C2E39F231bD0D4a3d6DB9FB,50
19734760,0xFA934996ab5E05017861345BFDaF1ea1e1d67999,310
19734302,0xCA19509388d5a40e42398F2FbE28c35a3147cA07,500
19733385,0x3249C72d2DabF00F8d2083de9852f0900da5B3d4,788
19732803,0x77539D93015aD4c1E1358C0a9917B851fb1E2cbB,"2116.64777"
19732071,0x5cC5E6DccaF171e6a4053d5aA176eA3D13C3E72b,"2100.623234"
19730823,0xb5122A34eD16A7080B60cE9B3C5c7E4C918AE121,"1151.46"
19730530,0xe50C59853AE867FF0d3da6eC872269D8F1B9669C,50.585996
19729398,0xF5F22054C4EF05BcBB98587e049Fd682c5A6B1E7,"1041.12"
19728707,0x7d98218e7a18aa6b8033B0aC71Fbf6A9264DfFf5,300.44925793937193
