BlockNo,From,Quantity
38199506,0x5AE36d7Acd459302876b2d1C312d5c2B0507b794,39984.947
38198596,0xe3BDB6A1FbE7338F03cD8FFd73B61470c40328Bc,11.08970196512109
38198292,0xdF8C7Fd90Dc29AC78679952273BfA016899cd1ff,150
38198103,0x6fb59ab9D10fA2922CEf198BCE982c6f1f4a4756,165
38197669,0x2dfbF075BBF541744f946ED97Be710f5F12747b8,10000
38197313,0x83FAad862Fb2cD3aA828F7A795f3f559dF0baDD4,681.3
38197089,0x4A7357a3078D1dF774e2FfA4a933834Dae3CC421,250.0020369894394
38196170,0x7Da7CEAD3bdf8bb374c9C210B16C43Dd9AD80C46,15769.14521
38195932,0xBAEc3738E3a556a5bd6441AB045d053ac957029f,229
38195372,0x02396790f97BD4d403f4A3ba9865095fCBb0a0Ce,1530
38194708,0x9F3f66DA80bb8101F6c770F6cF5D9023D7819da4,654.64
38193968,0x722C5b504CA4EB565baf02E2DE068a002c185EDD,8479.185529008832
38193847,0xa8960CD283DAFafe6F6D3b1B8DcD78CD21A4Ce09,1906
38193068,0xAadF465695b80D5F8A1079b6646ba0bDbbaa4307,29077.822724051777
38192960,0xCA19509388d5a40e42398F2FbE28c35a3147cA07,2000.559
38192582,0x7F1e7f6253DD2c64B6818FB2376F0e38e46F9cCD,6222.366117760221
38192498,0xC6fC25f965228EFA8264d8DcFa5F80dDC4c1d667,365.8
38192389,0xB632619Dd73db082Df23d7E8D5bEd09b63E31417,4000
38191563,0x367Bc1a9d1EF225307666E330E127EAF19B2160a,1739.57
38189445,0xeF91e857B2f957e6495f5010FbA8c3e67C3E65E8,2253.270723859575834897
38187736,0xeD87Ed81A8D45a868bE703820C2B60052dd31441,250.6350218779839
38185164,0x4719675ef728C972644635fEC6a29633fAe835AC,1
38184610,0xea4e60B8C4b06f14A8087729AE542C3959731Cab,250.00000016445355
