BlockNo,From,Quantity
38566612,0x5d95b7064AFEE447885fE0F894Dc559b646Ff58a,800
38566149,0x0a56BE2fa7BE546A910399e4723925D12A87f2CD,291.342
38560878,0x5a1870d746C45A8c66db40A6Faf3DbfdD0378EbB,1500
38559443,0x2124712F391AE1B1dE5fb63E149c25B316c3114C,1732
38554502,0x9e38518FbD86Ac0a5e5cF8A630fbBCAdaD4A9281,100
38554448,0x9C0d605958AC114CbbF227662458146932F06a7A,1880.4369
38553243,0xDF2373F5a08D79BEeaB67AD07fa34D5377379434,8574.929486
38551622,0x133AA707bdAd504bd73E16D93b9A8eA8755Fd89f,1063.001429
38550167,0x11d82FbECE5543085d9F8f8a82fc36De1a016995,0.002806987576
38550118,0x11d82FbECE5543085d9F8f8a82fc36De1a016995,253.86
38549597,0x06Dc0CBF44EED256C5975210095be703504a4541,1002.9
38548457,0x89B3ca95b293331249140E6697145d5806b3976d,3136.56
38548349,0xB9188EC6b449230D8e164e6AaD79fD34EDabbbdb,365.7168
38547810,0x6cc28D3E74b8b0913a561CdDB41364EC8594b0Fb,2000.052401
38547784,0xAe1FF4f54D1C97f432cE20C87A1D5D7eDE320c9B,2602.5
38547702,0x7c608B36F8A0Aa5dcd610fBf188C189Fd27A1fdc,10
38546609,0x304e763a9d6502c2AA3E57F890F6aF1fB84edB5A,226.780899
38544947,0x531364ebA4061Dd72A24d69FA8bc6166Bf4156D6,250
38544851,0x8DCe81D9643A5edcadE543bf170a9006D761Edd5,289.7313249
38543602,0x44051AD7FdA9Ae27bCB397AC753678D0753aE16D,1550.0016
38543572,0xa41570104e8820AeE104Fba71d3e8A9Db1235205,750
38543556,0x360bA6D3aF889b337709FFAE1A600e863a326722,1146.417612
38543516,0x9E8DbD165A77Db36cebC91EBCDeb38566Fd01D9f,0.00055
38543470,0x0516d3298a602A79387778B13d6927989EbBD190,1301.658529
38543320,0x9E8DbD165A77Db36cebC91EBCDeb38566Fd01D9f,250.33
