BlockNo,From,Quantity
38307596,0xCA19509388d5a40e42398F2FbE28c35a3147cA07,654.1651823844346
38307023,0xE00861177Fd56182ea5aD1216Dc3f77907429850,326
38306569,0x5104DdB7aFc82108D0d372DEd5dFB431a206EE54,250.8
38305610,0x929834985e6D5C0657d251540D427b8A0Ae111db,260
38305282,0xccbB9623116e74bBEA81432a714E3b5D6d14d861,900
38299177,0x85B8FB91EaC0eC152f1f98EB22e91E596E0D5Be4,2002
38297639,0xEf8a3991bc37517F6426B996dF42e25fa4EEEeCB,1501
38293363,0x2DaFfedDB402a9ab6009C7413abDCf8566f64bAc,1256.7175205653105
38292785,0x875b025f857fEe359388788b1513Ff34d8dC8645,1165
38292551,0x5c541E78E4B4b0860a4187816b17B7BDC505cF6f,250.00194259936524
38292522,0x57C926CBe5c8EDd57e65921C3A12524C9FfA7204,450
38292214,0xbc3EA8ea0f6373C36fa281caf1b04eCbD76f2666,1750
38291955,0x9A29967dB9bB57bC4D16271B4B4884c2BEcEfCeD,18310
38291223,0xDD606570692b35A27DBDF3111F3a1F4E5aFcf0F3,1250.3988
38290904,0xD4493F8cEA59Fa0a7A93D84c8Ab858f15aBD140e,200
38290459,0x9882f7E7e00410000397a9C08326F220558Ff0aa,613
38290413,0xf76a51884D0fE5969b0e2ed315247546d29D6d0C,653.89
38288368,0x2e4a67F51cB31E68454bBac1c17b123dC518d29C,7256
38288010,0x70f7AbC4Ca2f4A7dB21F08Da041F7cf3ce380cfb,422.8735
38285749,0xAE3BB357E5FCcAa36f1242660e6264cA0BB410c9,300
38283062,0x699F76f3d6b3e386f0c711a3e25B7F4238Eb0355,156.72465720679006
38282503,0xd2c3d75e5d91064d2711E39d3773e4190A01b03f,277.65
38282202,0xcDCE61608526BB0F28a1A8594684522D76B7C3Ca,51.36114639256696
38281877,0x6C18d6DEB8094EF05852d14EaF5DE3DA8c64A42E,920
38279818,0x4FFC303753F985D64CA4AfA19fc1674a7C2f8d11,3150
