BlockNo,From,Quantity
38165489,0xe270e2B1275f2801Eb67c8561a2e2DED1f8CfAD4,6973
38165216,0x3c9547720002cdfC8fe9Bb366ecB0043018aC011,1750
38164951,0x674D20f803d4865cf753574473Cd77708e9e9aF2,250
38164399,0x9d06433FeEfa692bAac1213f46c366f03c86A095,341.41991728174963
38164337,0x9d06433FeEfa692bAac1213f46c366f03c86A095,1
38164279,0xEf8a3991bc37517F6426B996dF42e25fa4EEEeCB,15
38164064,0x940fd84B9FC595C376ac2E6FDb625710177942cC,750.168621448479094601
38164064,0xc8790dB37d2121638097E24E3075009729A90346,7662.924941667498
38164001,0xd80d5fAde0D7b704c81e88Fe4bb6a506376bB91a,400.97784007757747
38163691,0x74a1b835529D251637B4e48562aBbEA146f913d7,1000.2896931626053
38163685,0xc52930C66D9CF8A3A3cF26922F6CBd15953EaF33,1000.78762
38163490,0x45dc4FB410Afd6de6A874104215E7be864b6bEF2,275
38162325,0x999805BE3736223A67fbB4998ff311dCBA0ec591,304.6
38161601,0x47779c5F876054beA1E755414B49f611b0aEd649,1135.0999457314965
38161566,0xBCC4F15CCD0D6880E5057dd2A679E6196294634E,263.91
38161417,0x551eFabc85f34d62f3d8C2C1FD79FB28A802b858,350.90786319584504
38161275,0xe50C59853AE867FF0d3da6eC872269D8F1B9669C,160.13861034761493
38156734,0xF5F22054C4EF05BcBB98587e049Fd682c5A6B1E7,17511
38153946,0x7d98218e7a18aa6b8033B0aC71Fbf6A9264DfFf5,380
