BlockNo,From,Quantity
19727988,0x5BF57F8a9E1FDB554d65331cac55b1c9B24Bba11,1018
19727204,0xC11D5Fd7fa38db79286CAdCaCF3156ebbdE35c4B,44353.44
19726570,0x5BEF45489a03462D199612c5cd992F114f398Ea8,5529.19
19726469,0x83FAad862Fb2cD3aA828F7A795f3f559dF0baDD4,64868
19726423,0x7F1e7f6253DD2c64B6818FB2376F0e38e46F9cCD,4880.19
19726041,0x67ee257E82d2835A278981653B971798f396bf96,59757.60
19725833,0xf5CD2627f856c2De16Ccb2d59143dA8D9d9F0093,2273.07
19725711,0x83FAad862Fb2cD3aA828F7A795f3f559dF0baDD4,100
19725535,0x8ee5246a2668104302278Bf77481666260BC1751,1
19725502,0x8ee5246a2668104302278Bf77481666260BC1751,1
19720400,0x21B4299644286840eF37DE64A18a7DbB8E914969,80
19720290,0xE89546063D995dFC96D719e4FF533e82A02dBb88,0.0001
,,
