BlockNo,From,Quantity,,
38129539,0x0b402B3e1336d8E0f84d7333622E87617b254F11,661.389,,
38128595,0x45462D2b13c7791c12f98C13921dE695E660b221,575,,
38127791,0x3673348670DE83fb61F65bF4eDA6270E92c41C60,2500,,
38127638,0xfd7d1b7d8644F32b57c2736C9557240dD5e05475,11530,,
38127186,0x3694995Fbc41299f719F7BdAE6aCcDc6D5c78574,110,,
38126292,0x984c5d268B220784E87fbe8EDbb5C6b9F7ba9Fc4,26161.47057,,
38125164,0x0835cF218Cbc2c81317aE4360a524Ca9473ce62c,1037.69,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
